,Giorno,Transazioni,Spesa Facebook,google,Organico,day_week,month
0,2018-07-01,0,0.0,0.0,32.0,6,7
1,2018-07-02,0,0.0,0.0,41.0,0,7
2,2018-07-03,0,0.0,0.0,28.0,1,7
3,2018-07-04,0,0.0,0.0,21.0,2,7
4,2018-07-05,0,0.0,0.0,32.0,3,7
5,2018-07-06,0,0.0,0.0,30.0,4,7
6,2018-07-07,0,0.0,0.0,28.0,5,7
7,2018-07-08,0,0.0,0.0,34.0,6,7
8,2018-07-09,0,0.0,0.0,51.0,0,7
9,2018-07-10,0,0.0,0.0,43.0,1,7
10,2018-07-11,0,0.0,0.0,51.0,2,7
11,2018-07-12,0,0.0,0.0,34.0,3,7
12,2018-07-13,0,0.0,0.0,53.0,4,7
13,2018-07-14,0,0.0,0.0,46.0,5,7
14,2018-07-15,0,0.0,0.0,35.0,6,7
15,2018-07-16,0,0.0,0.0,49.0,0,7
16,2018-07-17,0,0.0,0.0,45.0,1,7
17,2018-07-18,0,0.0,0.0,49.0,2,7
18,2018-07-19,0,0.0,0.0,47.0,3,7
19,2018-07-20,0,0.0,0.0,40.0,4,7
20,2018-07-21,0,0.0,0.0,44.0,5,7
21,2018-07-22,0,0.0,0.0,53.0,6,7
22,2018-07-23,0,0.0,0.0,55.0,0,7
23,2018-07-24,0,0.0,0.0,54.0,1,7
24,2018-07-25,0,0.0,0.0,39.0,2,7
25,2018-07-26,0,0.0,0.0,51.0,3,7
26,2018-07-27,0,0.0,0.0,41.0,4,7
27,2018-07-28,0,0.0,0.0,32.0,5,7
28,2018-07-29,0,0.0,0.0,55.0,6,7
29,2018-07-30,0,0.0,0.0,66.0,0,7
30,2018-07-31,0,0.0,0.0,61.0,1,7
31,2018-08-01,0,0.0,0.0,72.0,2,8
32,2018-08-02,0,0.0,0.0,72.0,3,8
33,2018-08-03,0,0.0,0.0,52.0,4,8
34,2018-08-04,0,0.0,0.0,48.0,5,8
35,2018-08-05,0,0.0,0.0,59.0,6,8
36,2018-08-06,0,0.0,0.0,59.0,0,8
37,2018-08-07,0,0.0,0.0,76.0,1,8
38,2018-08-08,0,0.0,0.0,69.0,2,8
39,2018-08-09,0,0.0,0.0,80.0,3,8
40,2018-08-10,0,0.0,0.0,68.0,4,8
41,2018-08-11,0,0.0,0.0,68.0,5,8
42,2018-08-12,0,0.0,0.0,58.0,6,8
43,2018-08-13,0,0.0,0.0,78.0,0,8
44,2018-08-14,0,0.0,0.0,59.0,1,8
45,2018-08-15,0,0.0,0.0,56.0,2,8
46,2018-08-16,0,0.0,0.0,56.0,3,8
47,2018-08-17,0,0.0,0.0,44.0,4,8
48,2018-08-18,0,0.0,0.0,55.0,5,8
49,2018-08-19,0,0.0,0.0,50.0,6,8
50,2018-08-20,0,0.0,0.0,64.0,0,8
